RK,WSID,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
33,,Jaxon Smith-Njigba (SEA),WR12,23,24,47,35.2,5.4,-
34,,Garrett Wilson (NYJ),WR13,24,29,48,36.1,4.5,-
35,,Marvin Harrison Jr. (ARI),WR14,22,32,47,37.3,4.1,-
36,,Bucky Irving (TB),RB6,22,28,54,38.1,7.5,-
37,,Trey McBride (ARI),TE2,25,20,62,38.6,8.7,-
38,,Trevor Lawrence (JAC),QB16,25,17,65,39.3,14.0,-
39,,Breece Hall (NYJ),RB7,24,26,67,40.8,11.9,-
40,,Jonathan Taylor (IND),RB8,26,24,68,41.0,12.0,-
41,,Tee Higgins (CIN),WR15,26,34,52,42.1,4.1,-
42,,Travis Hunter (JAC),WR16,22,28,71,44.2,7.7,-
43,,Rashee Rice (KC),WR17,25,30,66,45.1,9.2,-
44,,Omarion Hampton (LAC),RB9,22,25,167,45.6,27.5,-
Tier 6,,Customize Tiers,,,,,,,
45,,Tetairoa McMillan (CAR),WR18,22,27,109,47.4,17.8,-
46,,J.J. McCarthy (MIN),QB17,22,22,64,47.8,11.3,-
47,,Jared Goff (DET),QB18,30,16,85,49.0,18.2,-
48,,DeVonta Smith (PHI),WR19,26,42,68,50.8,7.3,-
49,,Dak Prescott (DAL),QB19,31,30,73,51.1,12.4,-
50,,James Cook (BUF),RB10,25,31,74,51.9,11.0,-
51,,Kyren Williams (LAR),RB11,24,31,67,52.2,10.0,-
52,,Zay Flowers (BAL),WR20,24,46,76,55.3,8.8,-
53,,Sam LaPorta (DET),TE3,24,35,73,57.0,7.8,-
54,,Josh Jacobs (GB),RB12,27,30,79,57.8,13.9,-
55,,Rome Odunze (CHI),WR21,23,43,90,58.0,12.9,-
56,,DJ Moore (CHI),WR22,28,44,80,59.2,9.8,-
57,,Chase Brown (CIN),RB13,25,38,91,60.8,12.1,-
58,,TreVeyon Henderson (NE),RB14,22,39,79,61.8,11.9,-
59,,Jordan Addison (MIN),WR23,23,45,82,61.9,8.9,-
60,,DK Metcalf (PIT),WR24,27,43,85,62.2,9.5,-
